Lexeme	 Token Type
----------------
int	 keyword
main	 identifier
(	 left_parenthesis
)	 right_parenthesis
{	 left_brace
int	 keyword
a	 identifier
=	 assign
10	 integer
;	 semicolon
float	 keyword
b	 identifier
=	 assign
20.0	 float
;	 semicolon
int	 keyword
c	 identifier
=	 assign
a	 identifier
+	 arithmetic_operator
b	 identifier
;	 semicolon
int	 keyword
d	 identifier
=	 assign
30	 integer
;	 semicolon
if	 keyword
(	 left_parenthesis
d	 identifier
-	 arithmetic_operator
c	 identifier
<=	 relational_operator
0	 integer
)	 right_parenthesis
{	 left_brace
printf	 identifier
(	 left_parenthesis
"hello world"	 string
)	 right_parenthesis
;	 semicolon
}	 right_brace
}	 right_brace
